Title,Author,Genre,Link,Updates,Views,Subscribers,Rating,Age Rating,Status
K.O!,Sable Studio,Romance,https://www.webtoons.com/en/romance/ko/list?title_no=6244,UPEVERY THURSDAY,4.8M,159581,9.56,This series is rated Teen. Please review the Content Ratings page for more information.,N/A
The Witch and The Bull,Moonsia,Fantasy,https://www.webtoons.com/en/fantasy/the-witch-and-the-bull/list?title_no=1892,UPEVERY THURSDAY,70.2M,1M,9.76,This series is rated Young Adult. Please review the Content Ratings page for more information.,N/A
Night of the Goblin,munsik,Action,https://www.webtoons.com/en/action/night-of-the-goblin/list?title_no=5986,UPEVERY THURSDAY,7.1M,181923,9.25,This series is rated Teen. Please review the Content Ratings page for more information.,N/A
A Flower Blooms on the Wall,Eunjeong,Romance,https://www.webtoons.com/en/romance/a-flower-blooms-on-the-wall/list?title_no=7357,UPEVERY THURSDAY,2.1M,151097,9.15,This series is rated Young Adult. Please review the Content Ratings page for more information.,N/A
The Villainous Tyrant has Returned,Studio wooridle,Fantasy,https://www.webtoons.com/en/fantasy/the-villainous-tyrant-has-returned/list?title_no=7007,UPEVERY THURSDAY,2.4M,167134,8.93,This series is rated Young Adult. Please review the Content Ratings page for more information.,N/A
The Heavenly DemonWants a Quiet Life,kijema,Action,https://www.webtoons.com/en/action/the-heavenly-demon-wants-a-quiet-life/list?title_no=7501,UPEVERY THURSDAY,263591,50667,8.95,This series is rated Young Adult. Please review the Content Ratings page for more information.,N/A
Adventures of God,Teo,Comedy,https://www.webtoons.com/en/comedy/adventures-of-god/list?title_no=853,"UPEVERY TUE, THU, SAT",507.9M,1.6M,9.38,This series is rated Young Adult. Please review the Content Ratings page for more information.,N/A
The Password Is 002!,PADO,Romance,https://www.webtoons.com/en/romance/the-password-is-002/list?title_no=6693,UPEVERY THURSDAY,3.4M,119019,9.64,This series is rated Young Adult. Please review the Content Ratings page for more information.,N/A
Mage and Mimic,Feathermage,Comedy,https://www.webtoons.com/en/comedy/mage-and-mimic/list?title_no=5973,"UPEVERY MON, THU",5.5M,102726,9.52,This series is rated Teen. Please review the Content Ratings page for more information.,N/A
The Dang Clan's Swordmaster HeirJust Wants a Normal Life,Hwagye,Action,https://www.webtoons.com/en/action/the-dang-clans-swordmaster-heir-just-wants-a-normal-life/list?title_no=6695,UPEVERY THURSDAY,2.4M,76474,8.87,This series is rated Young Adult. Please review the Content Ratings page for more information.,N/A
Wanna be Friends?,Giushia,Romance,https://www.webtoons.com/en/romance/wanna-be-friends/list?title_no=6281,UPEVERY THURSDAY,4M,133330,9.64,N/A,N/A
Lady Liar,Maripaz Villar,Romance,https://www.webtoons.com/en/romance/lady-liar/list?title_no=4526,UPEVERY THURSDAY,7.2M,149365,9.73,This series is rated Young Adult. Please review the Content Ratings page for more information.,N/A
The Masters HaveSubscribed,DN,Action,https://www.webtoons.com/en/action/the-masters-have-subscribed/list?title_no=6994,UPEVERY THURSDAY,1.4M,65848,9.26,This series is rated Young Adult. Please review the Content Ratings page for more information.,N/A
The Fish I Loved,WUJUBOMBOM,Romance,https://www.webtoons.com/en/romance/the-fish-i-loved/list?title_no=6299,UPEVERY THURSDAY,7.1M,238612,9.48,This series is rated Young Adult. Please review the Content Ratings page for more information.,N/A
Ingrid the Plague Doctor,Harry Amoros,Slice of life,https://www.webtoons.com/en/slice-of-life/ingrid-the-plague-doctor/list?title_no=3415,"UPEVERY MON, THU, SAT",23.7M,146438,9.46,This series is rated Young Adult. Please review the Content Ratings page for more information.,N/A
The Roguish Guardin a Medieval Fantasy,gomdol-ineun,Fantasy,https://www.webtoons.com/en/fantasy/the-roguish-guard-in-a-medieval-fantasy/list?title_no=7370,UPEVERY THURSDAY,810920,71133,9.42,This series is rated Mature. Please review the Content Ratings page for more information.,N/A
You Just Made My Day,yejo,Romance,https://www.webtoons.com/en/romance/you-just-made-my-day/list?title_no=6998,UPEVERY THURSDAY,1.7M,101750,9.49,This series is rated Young Adult. Please review the Content Ratings page for more information.,N/A
Sisters at War,Maenggi Ki,Drama,https://www.webtoons.com/en/drama/sisters-at-war/list?title_no=4940,UPEVERY THURSDAY,13.1M,269404,9.39,This series is rated Young Adult. Please review the Content Ratings page for more information.,N/A
Mono and Mochi,omumoo,Comedy,https://www.webtoons.com/en/comedy/mono-and-mochi/list?title_no=6019,"UPEVERY MON, THU",7.8M,125503,9.73,N/A,N/A
Combat Ward,nodohwan,Action,https://www.webtoons.com/en/action/combat-ward/list?title_no=7454,UPEVERY THURSDAY,654784,71883,9,This series is rated Mature. Please review the Content Ratings page for more information.,N/A
Want to See My Cat?,samtae,Romance,https://www.webtoons.com/en/romance/want-to-see-my-cat/list?title_no=6318,UPEVERY THURSDAY,4.7M,142277,9.79,This series is rated Young Adult. Please review the Content Ratings page for more information.,N/A
King of the Arena,LICO,Action,https://www.webtoons.com/en/action/king-of-the-arena/list?title_no=6466,UPEVERY THURSDAY,3.4M,104889,9.38,This series is rated Mature. Please review the Content Ratings page for more information.,N/A
Phantom Whispers,moonkyoung kim,Thriller,https://www.webtoons.com/en/thriller/phantom-whispers/list?title_no=6882,UPEVERY THURSDAY,1.5M,85006,9.87,This series is rated Mature. Please review the Content Ratings page for more information.,N/A
The Prize of Youth,YUwol,Romance,https://www.webtoons.com/en/romance/the-prize-of-youth/list?title_no=7463,UPEVERY THURSDAY,336236,48945,9.54,This series is rated Teen. Please review the Content Ratings page for more information.,N/A
Daedalus of the Crows,Marco,Fantasy,https://www.webtoons.com/en/fantasy/daedalus-of-the-crows/list?title_no=4761,UPEVERY THURSDAY,3.9M,133485,9.41,This series is rated Mature. Please review the Content Ratings page for more information.,N/A
Random Target,INE,Romance,https://www.webtoons.com/en/romance/random-target/list?title_no=5812,UPEVERY THURSDAY,7.3M,182545,8.88,This series is rated Young Adult. Please review the Content Ratings page for more information.,N/A
Lily Crown,Diggymungo,Action,https://www.webtoons.com/en/action/lily-crown/list?title_no=2751,UPEVERY THURSDAY,4.6M,111727,9.48,N/A,N/A
The Player Hides His Past,Gaechaban,Action,https://www.webtoons.com/en/action/the-player-hides-his-past/list?title_no=5655,UPEVERY THURSDAY,5.7M,250450,9.61,This series is rated Young Adult. Please review the Content Ratings page for more information.,N/A
