Title,Author,Genre,Link,Updates,Views,Subscribers,Rating,Age Rating,Status
Duchess in Ruins,Candlebambi,Romance,https://www.webtoons.com/en/romance/duchess-in-ruins/list?title_no=7109,UPEVERY MONDAY,8.7M,493332,9.29,This series is rated Young Adult. Please review the Content Ratings page for more information.,This is a Global Launch series with new episodes publishing simultaneously worldwide.
The Reborn Young Lordis an Assassin,swingbat,Fantasy,https://www.webtoons.com/en/fantasy/the-reborn-young-lord-is-an-assassin/list?title_no=6107,UPEVERY MONDAY,29.4M,942670,9.5,This series is rated Young Adult. Please review the Content Ratings page for more information.,This is a Global Launch series with new episodes publishing simultaneously worldwide.
The Beloved Incompetent Stepmom,Tsuruko Maruko,Romance,https://www.webtoons.com/en/romance/the-beloved-incompetent-stepmom/list?title_no=7492,UPEVERY MONDAY,1.4M,189702,9.5,This series is rated Young Adult. Please review the Content Ratings page for more information.,N/A
A Savage Proposal,Lee yuna,Romance,https://www.webtoons.com/en/romance/a-savage-proposal/list?title_no=7121,UPEVERY MONDAY,9.7M,657271,8.07,This series is rated Young Adult. Please review the Content Ratings page for more information.,This is a Global Launch series with new episodes publishing simultaneously worldwide.
SubZero,Junepurrr,Romance,https://www.webtoons.com/en/romance/subzero/list?title_no=1468,UPEVERY MONDAY,404.1M,3.1M,9.75,N/A,N/A
I'm the Queen in This Life,Themis,Fantasy,https://www.webtoons.com/en/fantasy/im-the-queen-in-this-life/list?title_no=4886,UPEVERY MONDAY,95.6M,1.2M,9.56,This series is rated Young Adult. Please review the Content Ratings page for more information.,N/A
The Extra's Academy Survival Guide,Korita,Fantasy,https://www.webtoons.com/en/fantasy/the-extras-academy-survival-guide/list?title_no=6465,UPEVERY MONDAY,9.9M,239132,9.72,This series is rated Young Adult. Please review the Content Ratings page for more information.,N/A
I Grabbed the Leashof the Blind Beast,The Greedy Gatsby,Romance,https://www.webtoons.com/en/romance/i-grabbed-the-leash-of-the-blind-beast/list?title_no=7169,UPEVERY MONDAY,6.3M,263748,8.5,This series is rated Young Adult. Please review the Content Ratings page for more information.,N/A
Hidden Class Gravity User,Nekoko,Fantasy,https://www.webtoons.com/en/fantasy/hidden-class-gravity-user/list?title_no=6679,UPEVERY MONDAY,9.5M,294793,7.63,This series is rated Young Adult. Please review the Content Ratings page for more information.,N/A
You Can't Kill Me:The Secret Bride of the Black Wolf,HAEMIN,Romance,https://www.webtoons.com/en/romance/you-cant-kill-me-the-secret-bride-of-the-black-wolf/list?title_no=6748,UPEVERY MONDAY,9.2M,419208,9.45,This series is rated Young Adult. Please review the Content Ratings page for more information.,N/A
The Perfect Contract,TTUSOL,Romance,https://www.webtoons.com/en/romance/the-perfect-contract/list?title_no=6756,UPEVERY MONDAY,9.5M,327942,9.5,This series is rated Young Adult. Please review the Content Ratings page for more information.,N/A
I'll Take That MarriageThis Time,pparappa,Romance,https://www.webtoons.com/en/romance/ill-take-that-marriage-this-time/list?title_no=7480,UPEVERY MONDAY,1.8M,166307,9.13,This series is rated Young Adult. Please review the Content Ratings page for more information.,N/A
The Reason for theTwin Lady's Disguise,Amamiya Ley.,Romance,https://www.webtoons.com/en/romance/the-reason-for-the-twin-ladys-disguise/list?title_no=6315,UPEVERY MONDAY,25.6M,434240,8.54,This series is rated Teen. Please review the Content Ratings page for more information.,N/A
At Your Mercy,Team Lightsalt,Fantasy,https://www.webtoons.com/en/fantasy/at-your-mercy/list?title_no=7122,UPEVERY MONDAY,5M,254914,8.5,This series is rated Young Adult. Please review the Content Ratings page for more information.,N/A
On the Way to Meet Mom,GOMYANG,Fantasy,https://www.webtoons.com/en/fantasy/on-the-way-to-meet-mom/list?title_no=7525,UPEVERY MONDAY,826944,124714,9.94,This series is rated Young Adult. Please review the Content Ratings page for more information.,N/A
The World After the Fall,singNsong,Action,https://www.webtoons.com/en/action/the-world-after-the-fall/list?title_no=4011,UPEVERY MONDAY,78M,1.1M,9.68,This series is rated Young Adult. Please review the Content Ratings page for more information.,N/A
My Giant Nerd Boyfriend,fishball,Slice of life,https://www.webtoons.com/en/slice-of-life/my-giant-nerd-boyfriend/list?title_no=958,"UPEVERY MON, WED, FRI",827.2M,2.4M,9.73,This series is rated Teen. Please review the Content Ratings page for more information.,N/A
My Clueless Love Diary,Yonghyun,Romance,https://www.webtoons.com/en/romance/my-clueless-love-diary/list?title_no=7494,UPEVERY MONDAY,1.1M,128977,9.42,This series is rated Young Adult. Please review the Content Ratings page for more information.,N/A
My Beloved Oppressor,LICO,Drama,https://www.webtoons.com/en/drama/my-beloved-oppressor/list?title_no=6298,UPEVERY MONDAY,13.3M,336452,7.65,This series is rated Mature. Please review the Content Ratings page for more information.,N/A
Monster Princess of theSnowy Mountain,Lee Nakeum,Fantasy,https://www.webtoons.com/en/fantasy/monster-princess-of-the-snowy-mountain/list?title_no=6534,UPEVERY MONDAY,8.4M,261569,9.14,This series is rated Young Adult. Please review the Content Ratings page for more information.,N/A
Fallen to Paradise,BY,Romance,https://www.webtoons.com/en/romance/fallen-to-paradise/list?title_no=6209,UPEVERY MONDAY,11.8M,320488,9.48,This series is rated Teen. Please review the Content Ratings page for more information.,N/A
Praesepe Outside the Cage,Chasam,Romance,https://www.webtoons.com/en/romance/praesepe-outside-the-cage/list?title_no=7587,UPEVERY MONDAY,793622,83725,9.2,This series is rated Young Adult. Please review the Content Ratings page for more information.,N/A
The Merman Trapped in My Lake,R.PPOBI,Romance,https://www.webtoons.com/en/romance/the-merman-trapped-in-my-lake/list?title_no=7493,UPEVERY MONDAY,863770,103180,9.27,This series is rated Young Adult. Please review the Content Ratings page for more information.,N/A
A Husband I Didn't Expect,Got W,Romance,https://www.webtoons.com/en/romance/a-husband-i-didnt-expect/list?title_no=7498,UPEVERY MONDAY,372360,66791,8.09,This series is rated Young Adult. Please review the Content Ratings page for more information.,N/A
I Stole the First Ranker's Soul,LEE JUNG,Fantasy,https://www.webtoons.com/en/fantasy/i-stole-the-first-rankers-soul/list?title_no=5551,UPEVERY MONDAY,11.9M,218931,9.71,This series is rated Young Adult. Please review the Content Ratings page for more information.,N/A
Weapon Creator,Cookie poet,Action,https://www.webtoons.com/en/action/weapon-creator/list?title_no=5956,UPEVERY MONDAY,11M,272018,9.13,This series is rated Teen. Please review the Content Ratings page for more information.,N/A
The Laws of Cultivation,AETHON,Action,https://www.webtoons.com/en/action/the-laws-of-cultivation/list?title_no=7132,UPEVERY MONDAY,1.8M,120031,8.93,This series is rated Young Adult. Please review the Content Ratings page for more information.,N/A
Transference,Hyang-yu,Romance,https://www.webtoons.com/en/romance/transference/list?title_no=7406,UPEVERY MONDAY,1.3M,114052,9.56,This series is rated Young Adult. Please review the Content Ratings page for more information.,N/A
Dark Mermaid,DDOGAK,Fantasy,https://www.webtoons.com/en/fantasy/dark-mermaid/list?title_no=6671,UPEVERY MONDAY,3.4M,129746,9.71,This series is rated Young Adult. Please review the Content Ratings page for more information.,N/A
To Tame a Fire,hilluhri,Supernatural,https://www.webtoons.com/en/supernatural/to-tame-a-fire/list?title_no=3763,UPEVERY MONDAY,22.6M,425034,9.61,This series is rated Young Adult. Please review the Content Ratings page for more information.,N/A
Hero of All Trades,KyuYoung,Action,https://www.webtoons.com/en/action/hero-of-all-trades/list?title_no=7401,UPEVERY MONDAY,1.1M,89348,9.24,This series is rated Young Adult. Please review the Content Ratings page for more information.,N/A
Wind Breaker,Yongseok Jo,Sports,https://www.webtoons.com/en/sports/wind-breaker/list?title_no=372,UPEVERY MONDAY,581.4M,2.2M,9.92,This series is rated Teen. Please review the Content Ratings page for more information.,N/A
Becoming the Monarch,2631,Fantasy,https://www.webtoons.com/en/fantasy/becoming-the-monarch/list?title_no=5549,UPEVERY MONDAY,7.1M,138618,9.55,This series is rated Teen. Please review the Content Ratings page for more information.,N/A
Little Hollow Caf�,Vivian Ha,Slice of life,https://www.webtoons.com/en/slice-of-life/little-hollow-cafe/list?title_no=7133,UPEVERY MONDAY,1.2M,98445,9.34,This series is rated Teen. Please review the Content Ratings page for more information.,N/A
It's Just Business,youngha,Romance,https://www.webtoons.com/en/romance/its-just-business/list?title_no=6201,UPEVERY MONDAY,9.9M,321817,9.48,This series is rated Teen. Please review the Content Ratings page for more information.,N/A
The Barbarian of Seoul Station,LICO,Action,https://www.webtoons.com/en/action/the-barbarian-of-seoul-station/list?title_no=6945,UPEVERY MONDAY,1.4M,71866,8.81,This series is rated Young Adult. Please review the Content Ratings page for more information.,N/A
Mage and Mimic,Feathermage,Comedy,https://www.webtoons.com/en/comedy/mage-and-mimic/list?title_no=5973,"UPEVERY MON, THU",5.5M,102725,9.52,This series is rated Teen. Please review the Content Ratings page for more information.,N/A
Absolute Reign,sidae,Action,https://www.webtoons.com/en/action/absolute-reign/list?title_no=7366,UPEVERY MONDAY,827350,71072,9.64,This series is rated Mature. Please review the Content Ratings page for more information.,N/A
Ingrid the Plague Doctor,Harry Amoros,Slice of life,https://www.webtoons.com/en/slice-of-life/ingrid-the-plague-doctor/list?title_no=3415,"UPEVERY MON, THU, SAT",23.7M,146438,9.46,This series is rated Young Adult. Please review the Content Ratings page for more information.,N/A
Game Master,hibnkuma,Fantasy,https://www.webtoons.com/en/fantasy/game-master/list?title_no=7403,UPEVERY MONDAY,901818,74661,9.15,This series is rated Teen. Please review the Content Ratings page for more information.,N/A
Lord of Goblins,Moonquill,Fantasy,https://www.webtoons.com/en/fantasy/lord-of-goblins/list?title_no=5227,UPEVERY MONDAY,10M,235025,9.24,This series is rated Young Adult. Please review the Content Ratings page for more information.,N/A
Skool of Street,Slanket,Sports,https://www.webtoons.com/en/sports/skool-of-street/list?title_no=6743,UPEVERY MONDAY,2.4M,107277,9.71,This series is rated Teen. Please review the Content Ratings page for more information.,N/A
My Stepdaughter is a Bunny,Karin Park,Fantasy,https://www.webtoons.com/en/fantasy/my-stepdaughter-is-a-bunny/list?title_no=6747,UPEVERY MONDAY,3.5M,134163,8.67,This series is rated Teen. Please review the Content Ratings page for more information.,N/A
Heart Acres,EA Denich,Romance,https://www.webtoons.com/en/romance/heart-acres/list?title_no=5203,UPEVERY MONDAY,1.5M,67774,8.9,This series is rated Young Adult. Please review the Content Ratings page for more information.,N/A
To Die or To Fall In Love,HONEYB,Romance,https://www.webtoons.com/en/romance/to-die-or-to-fall-in-love/list?title_no=6991,UPEVERY MONDAY,1.6M,96561,8.21,This series is rated Mature. Please review the Content Ratings page for more information.,N/A
The Forbidden Marriage,Chun Ji hye,Historical,https://www.webtoons.com/en/historical/the-forbidden-marriage/list?title_no=7523,UPEVERY MONDAY,389228,48539,8.61,This series is rated Young Adult. Please review the Content Ratings page for more information.,N/A
Mono and Mochi,omumoo,Comedy,https://www.webtoons.com/en/comedy/mono-and-mochi/list?title_no=6019,"UPEVERY MON, THU",7.8M,125503,9.73,N/A,N/A
Love Cycle,QIN*,Romance,https://www.webtoons.com/en/romance/love-cycle/list?title_no=4845,UPEVERY MONDAY,4.6M,166961,9.31,N/A,N/A
My Comeback asthe Youngest Member,mattgom,Drama,https://www.webtoons.com/en/drama/my-comeback-as-the-youngest-member/list?title_no=6302,UPEVERY MONDAY,3.4M,115322,9.67,This series is rated Young Adult. Please review the Content Ratings page for more information.,My Comeback as the Youngest Member will return!
The Regressor Only Protects Me,MIDO,Action,https://www.webtoons.com/en/action/the-regressor-only-protects-me/list?title_no=7236,UPEVERY MONDAY,802742,69829,8.96,This series is rated Young Adult. Please review the Content Ratings page for more information.,N/A
Clevatess,IWAHARA YUJI,Action,https://www.webtoons.com/en/action/clevatess/list?title_no=7485,UPEVERY MONDAY,151315,27370,8.85,This series is rated Mature. Please review the Content Ratings page for more information.,N/A
Wail of a Dragon's Rage,jordan,Fantasy,https://www.webtoons.com/en/fantasy/wail-of-a-dragons-rage/list?title_no=6330,UPEVERY MONDAY,2.7M,113624,9.61,This series is rated Mature. Please review the Content Ratings page for more information.,N/A
My Girlfriend,Park_ci,Thriller,https://www.webtoons.com/en/thriller/my-girlfriend/list?title_no=6887,UPEVERY MONDAY,3M,123915,9.43,This series is rated Mature. Please review the Content Ratings page for more information.,N/A
My Girlfriend is the Man!,massstar,Romance,https://www.webtoons.com/en/romance/my-girlfriend-is-the-man/list?title_no=7392,UPEVERY MONDAY,748501,45614,7.27,This series is rated Teen. Please review the Content Ratings page for more information.,N/A
Hiding Out in an Apocalypse,ROAD WARRIOR,Action,https://www.webtoons.com/en/action/hiding-out-in-an-apocalypse/list?title_no=6469,UPEVERY MONDAY,2.4M,99700,9.46,This series is rated Mature. Please review the Content Ratings page for more information.,N/A
Daily JoJo,Donggeon Lee,Romance,https://www.webtoons.com/en/romance/daily-jojo/list?title_no=3335,UPEVERY MONDAY,15.2M,183021,9.76,N/A,N/A
Karsearin: Adventures of aRed Dragon,YKB,Fantasy,https://www.webtoons.com/en/fantasy/karsearin-adventures-of-a-red-dragon/list?title_no=4447,UPEVERY MONDAY,11.2M,204615,9.27,This series is rated Young Adult. Please review the Content Ratings page for more information.,N/A
Elegant Desire,Kim Jong Geon,Drama,https://www.webtoons.com/en/drama/elegant-desire/list?title_no=5836,UPEVERY MONDAY,9M,180952,6.76,This series is rated Mature. Please review the Content Ratings page for more information.,N/A
The Build Up,911,Sports,https://www.webtoons.com/en/sports/the-build-up/list?title_no=2712,UPEVERY MONDAY,22.8M,262067,9.76,This series is rated Young Adult. Please review the Content Ratings page for more information.,N/A
The Gwichon Village Mystery,Daehan LEE,Thriller,https://www.webtoons.com/en/thriller/the-gwichon-village-mystery/list?title_no=6667,UPEVERY MONDAY,2.8M,135732,9.72,This series is rated Mature. Please review the Content Ratings page for more information.,N/A
Midnight Rain,Pani,Drama,https://www.webtoons.com/en/drama/midnight-rain/list?title_no=1797,UPEVERY MONDAY,19.1M,383415,9.03,This series is rated Teen. Please review the Content Ratings page for more information.,N/A
Dear Summer Sky,SOJANG,Romance,https://www.webtoons.com/en/romance/dear-summer-sky/list?title_no=7355,UPEVERY MONDAY,778839,74703,9.35,This series is rated Teen. Please review the Content Ratings page for more information.,N/A
The Princess and the Boss,YOEN,Comedy,https://www.webtoons.com/en/comedy/the-princess-and-the-boss/list?title_no=7354,UPEVERY MONDAY,444368,36855,9.42,This series is rated Young Adult. Please review the Content Ratings page for more information.,N/A
Surviving aFantasy Adventure Comic,Marucomics,Fantasy,https://www.webtoons.com/en/fantasy/surviving-a-fantasy-adventure-comic/list?title_no=5181,UPEVERY MONDAY,2.9M,64761,9.25,This series is rated Young Adult. Please review the Content Ratings page for more information.,N/A
The Outcast is a Fighter,kim ggulbal,Action,https://www.webtoons.com/en/action/the-outcast-is-a-fighter/list?title_no=5893,UPEVERY MONDAY,1.9M,66103,7.38,This series is rated Mature. Please review the Content Ratings page for more information.,N/A
Wedding Strategy,YOOLMOO,Romance,https://www.webtoons.com/en/romance/wedding-strategy/list?title_no=5892,UPEVERY MONDAY,2.5M,103254,9.53,This series is rated Teen. Please review the Content Ratings page for more information.,N/A
Reality Quest,Joowoon Lee,Action,https://www.webtoons.com/en/action/reality-quest/list?title_no=4697,UPEVERY MONDAY,15.8M,335192,9.17,This series is rated Young Adult. Please review the Content Ratings page for more information.,N/A
Kubera,Currygom,Fantasy,https://www.webtoons.com/en/fantasy/kubera/list?title_no=83,UPEVERY MONDAY,57.4M,260223,9.7,This series is rated Teen. Please review the Content Ratings page for more information.,N/A
Magic School Girl:Spare No Villains,wong-wong-i,Fantasy,https://www.webtoons.com/en/fantasy/magic-school-girl-spare-no-villains/list?title_no=5397,UPEVERY MONDAY,1.2M,64427,9.25,N/A,N/A
Banhyang:The Remote Island,PIGGY,Horror,https://www.webtoons.com/en/horror/banhyang-the-remote-island/list?title_no=6853,UPEVERY MONDAY,313001,28929,9.08,This series is rated Mature. Please review the Content Ratings page for more information.,N/A
Mr. Baek,Haetae,Action,https://www.webtoons.com/en/action/mr-baek/list?title_no=5437,UPEVERY MONDAY,4.4M,207110,9.45,N/A,N/A
The Producer'sSecond Life,Wangsibri,Drama,https://www.webtoons.com/en/drama/the-producers-second-life/list?title_no=5046,UPEVERY MONDAY,5.4M,90019,9.12,This series is rated Teen. Please review the Content Ratings page for more information.,N/A
Knife in Her Heart,ori,Drama,https://www.webtoons.com/en/drama/knife-in-her-heart/list?title_no=5043,UPEVERY MONDAY,4.6M,154298,9.25,This series is rated Young Adult. Please review the Content Ratings page for more information.,N/A
1 Second,sini,Action,https://www.webtoons.com/en/action/1-second/list?title_no=4322,UPEVERY MONDAY,7.3M,122393,9.63,This series is rated Young Adult. Please review the Content Ratings page for more information.,N/A
My Lovely Bodyguard,Daisy,Romance,https://www.webtoons.com/en/romance/my-lovely-bodyguard/list?title_no=5191,UPEVERY MONDAY,1.9M,75791,6.56,This series is rated Mature. Please review the Content Ratings page for more information.,N/A
WEBTOON Now,Wyatt the Cat,Informative,https://www.webtoons.com/en/tiptoon/webtoon-now/list?title_no=2025,UPEVERY MONDAY,53.3M,587976,8.49,N/A,N/A
The Gardener in a Hunter World,Tomozo,Fantasy,https://www.webtoons.com/en/fantasy/the-gardener-in-a-hunter-world/list?title_no=6220,UPEVERY MONDAY,8.8M,263480,9.41,This series is rated Teen. Please review the Content Ratings page for more information.,The Gardener in a Hunter World will return!
Tower of God,SIU,Fantasy,https://www.webtoons.com/en/fantasy/tower-of-god/list?title_no=95,UPEVERY MONDAY,1.2B,4M,9.86,This series is rated Teen. Please review the Content Ratings page for more information.,Tower of God will be back!
Powerless,chikinmu,Action,https://www.webtoons.com/en/action/powerless/list?title_no=6536,UPEVERY MONDAY,1.5M,68932,9.38,This series is rated Mature. Please review the Content Ratings page for more information.,Powerless will return!
Angel Wings,Brandon Chen,Drama,https://www.webtoons.com/en/drama/angel-wings/list?title_no=6920,UPEVERY MONDAY,470316,58991,9.36,This series is rated Young Adult. Please review the Content Ratings page for more information.,Angel Wings will return!
Your Smile is a Trap,AENGO,Romance,https://www.webtoons.com/en/romance/your-smile-is-a-trap/list?title_no=2052,UPEVERY MONDAY,85.7M,1.2M,9.78,This series is rated Teen. Please review the Content Ratings page for more information.,Your Smile is a Trap will return!
The Primal Hunter,UnoDay Studio,Action,https://www.webtoons.com/en/action/the-primal-hunter/list?title_no=5970,UPEVERY MONDAY,9.5M,210997,8.55,This series is rated Young Adult. Please review the Content Ratings page for more information.,The Primal Hunter will return!
All Haven Academy,Akiocha,Drama,https://www.webtoons.com/en/drama/all-haven-academy/list?title_no=2873,UPEVERY MONDAY,4.3M,146877,9.32,This series is rated Teen. Please review the Content Ratings page for more information.,All Haven Academy will return!
Fictional Skin,Kris Nguyen,Drama,https://www.webtoons.com/en/drama/fictional-skin/list?title_no=3272,UPEVERY MONDAY,7.7M,212330,9.73,This series is rated Young Adult. Please review the Content Ratings page for more information.,Fictional Skin will return!
Time and Time Again,Deo I.,Supernatural,https://www.webtoons.com/en/supernatural/time-and-time-again/list?title_no=3758,UPEVERY MONDAY,6M,124550,9.65,This series is rated Teen. Please review the Content Ratings page for more information.,Time and Time Again will return!
Blood Reverie,lifelight,Romance,https://www.webtoons.com/en/romance/blood-reverie/list?title_no=2806,UPEVERY MONDAY,30.3M,553999,9.07,This series is rated Young Adult. Please review the Content Ratings page for more information.,Blood Reverie will return!
"Ari, San, and the Reaper",RBKjin,Action,https://www.webtoons.com/en/action/ari-san-and-the-reaper/list?title_no=6207,UPEVERY MONDAY,344676,33664,9.24,This series is rated Teen. Please review the Content Ratings page for more information.,"Ari, San, and the Reaper will return!"
21st Century Knights,Plastic Bottru,Fantasy,https://www.webtoons.com/en/fantasy/21st-century-knights/list?title_no=2718,UPEVERY MONDAY,8.1M,225946,9.41,This series is rated Young Adult. Please review the Content Ratings page for more information.,21st Century Knights will return!
Morgana and Oz,Miyuli,Fantasy,https://www.webtoons.com/en/fantasy/morgana-and-oz/list?title_no=2964,UPEVERY MONDAY,83M,1.5M,9.81,N/A,Morgana and Oz will return!
Here There Be Dragons,Disteal,Fantasy,https://www.webtoons.com/en/fantasy/here-there-be-dragons/list?title_no=2726,UPEVERY MONDAY,6.8M,235298,9.38,This series is rated Young Adult. Please review the Content Ratings page for more information.,Here There Be Dragons will return!
Everything is Fine,Mike Birchall,Horror,https://www.webtoons.com/en/horror/everything-is-fine/list?title_no=2578,UPEVERY MONDAY,110.7M,1.6M,9.71,N/A,N/A
EMPYREA,OHKATES,Fantasy,https://www.webtoons.com/en/fantasy/empyrea/list?title_no=1407,UPEVERY MONDAY,31.1M,646112,9.74,N/A,EMPYREA will return!
Mage Again,Myoung rang,Fantasy,https://www.webtoons.com/en/fantasy/mage-again/list?title_no=3476,UPEVERY MONDAY,5.7M,170242,9.73,This series is rated Teen. Please review the Content Ratings page for more information.,Mage Again will return!
The Breaker: Eternal Force,GEUKJIN JEON,Action,https://www.webtoons.com/en/action/the-breaker-eternal-force/list?title_no=4501,UPEVERY MONDAY,17.6M,402428,9.47,N/A,The Breaker: Eternal Force will return!
The End of Ma'at,Yaruno,Action,https://www.webtoons.com/en/action/the-end-of-ma-at/list?title_no=3929,UPEVERY MONDAY,940025,52214,9.07,N/A,The End of Ma'at will return!
Code Adam,Atterozen,Action,https://www.webtoons.com/en/action/code-adam/list?title_no=1657,UPEVERY MONDAY,50.5M,846074,9.74,This series is rated Young Adult. Please review the Content Ratings page for more information.,N/A
Aza,usaesae,Fantasy,https://www.webtoons.com/en/fantasy/aza/list?title_no=3994,UPEVERY MONDAY,6.6M,287995,9.72,N/A,Aza will return!
The Mafia Nanny,sh00,Romance,https://www.webtoons.com/en/romance/the-mafia-nanny/list?title_no=5879,UPEVERY TUESDAY,177.4M,3.7M,9.75,N/A,N/A
Down To Earth,Pookie Senpai,Romance,https://www.webtoons.com/en/romance/down-to-earth/list?title_no=1817,UPEVERY TUESDAY,545.6M,4.2M,9.72,This series is rated Young Adult. Please review the Content Ratings page for more information.,N/A
Not Your TypicalReincarnation Story,Lemon Frog,Romance,https://www.webtoons.com/en/romance/not-your-typical-reincarnation-story/list?title_no=5556,UPEVERY TUESDAY,91.6M,1.3M,9.69,This series is rated Young Adult. Please review the Content Ratings page for more information.,N/A
Omniscient Reader,singNsong,Action,https://www.webtoons.com/en/action/omniscient-reader/list?title_no=2154,UPEVERY TUESDAY,456.5M,4M,9.91,This series is rated Teen. Please review the Content Ratings page for more information.,N/A
Fantasy High,Dimension 20,Comedy,https://www.webtoons.com/en/comedy/fantasy-high/list?title_no=7686,UPEVERY TUESDAY,580928,132357,9.84,This series is rated Young Adult. Please review the Content Ratings page for more information.,SALERead the first 3 eps and get 1 month of Dropout.tv!
Eleceed,Jeho Son,Action,https://www.webtoons.com/en/action/eleceed/list?title_no=1571,UPEVERY TUESDAY,390.6M,2.1M,9.93,N/A,N/A
The Villainess Just Wants to Live in Peace!,Graycat,Romance,https://www.webtoons.com/en/romance/the-villainess-just-wants-to-live-in-peace/list?title_no=6879,UPEVERY TUESDAY,12.9M,681810,9.08,This series is rated Young Adult. Please review the Content Ratings page for more information.,N/A
The Tyrant Wants to Be Good,Ramguel,Fantasy,https://www.webtoons.com/en/fantasy/the-tyrant-wants-to-be-good/list?title_no=5201,UPEVERY TUESDAY,71.9M,1.1M,9.6,N/A,N/A
Villain to Kill,Fupin,Action,https://www.webtoons.com/en/action/villain-to-kill/list?title_no=2857,UPEVERY TUESDAY,105.4M,1.3M,9.75,This series is rated Teen. Please review the Content Ratings page for more information.,N/A
Adopted by aMurderous Duke Family,Rogang,Romance,https://www.webtoons.com/en/romance/adopted-by-a-murderous-duke-family/list?title_no=6146,UPEVERY TUESDAY,26.5M,645748,9.5,This series is rated Young Adult. Please review the Content Ratings page for more information.,Adopted by a Murderous Duke Family will return!
Girlfriend Manual,saefira (Merlin),Romance,https://www.webtoons.com/en/romance/girlfriend-manual/list?title_no=7343,"UPEVERY TUE, SAT",3.3M,191622,9.21,This series is rated Young Adult. Please review the Content Ratings page for more information.,N/A
What Death Taught Me,LICO,Romance,https://www.webtoons.com/en/romance/what-death-taught-me/list?title_no=7456,UPEVERY TUESDAY,2M,206899,8.6,This series is rated Young Adult. Please review the Content Ratings page for more information.,N/A
I Became a Level 999 Demon Queen,LEE JAE-I,Fantasy,https://www.webtoons.com/en/fantasy/i-became-a-level-999-demon-queen/list?title_no=6880,UPEVERY TUESDAY,6.8M,262016,9.34,This series is rated Teen. Please review the Content Ratings page for more information.,N/A
Homesick,Ms. Freaky,Thriller,https://www.webtoons.com/en/thriller/homesick/list?title_no=2759,UPEVERY TUESDAY,134.7M,1.7M,9.76,This series is rated Mature. Please review the Content Ratings page for more information.,N/A
Paranoid Mage,InadvisablyCompelled,Action,https://www.webtoons.com/en/action/paranoid-mage/list?title_no=6079,UPEVERY TUESDAY,9.2M,208258,9.39,This series is rated Young Adult. Please review the Content Ratings page for more information.,Paranoid Mage will return!
1HP Club,elfboi,Fantasy,https://www.webtoons.com/en/fantasy/1hp-club/list?title_no=2960,"UPEVERY TUE, FRI",70.3M,751885,9.67,N/A,N/A
Acception,Colourbee,Drama,https://www.webtoons.com/en/drama/acception/list?title_no=1513,UPEVERY TUESDAY,182.8M,900229,8.81,This series is rated Young Adult. Please review the Content Ratings page for more information.,N/A
The Acting EmpressStill Spends the First Night,salgujelly,Romance,https://www.webtoons.com/en/romance/the-acting-empress-still-spends-the-first-night/list?title_no=7171,UPEVERY TUESDAY,4.8M,214493,8.43,This series is rated Mature. Please review the Content Ratings page for more information.,N/A
The Cup of VengeanceIs in Your Hands,JIBSA,Fantasy,https://www.webtoons.com/en/fantasy/the-cup-of-vengeance-is-in-your-hands/list?title_no=6537,UPEVERY TUESDAY,9.4M,312864,9.26,This series is rated Young Adult. Please review the Content Ratings page for more information.,N/A
Till Crimes Do Us Part,Paintword,Romance,https://www.webtoons.com/en/romance/till-crimes-do-us-part/list?title_no=7521,UPEVERY TUESDAY,698753,119415,8.86,This series is rated Young Adult. Please review the Content Ratings page for more information.,N/A
Stalker x Stalker,Merryweather,Comedy,https://www.webtoons.com/en/comedy/stalker-x-stalker/list?title_no=6080,"UPEVERY TUE, FRI",23.4M,311566,7.52,This series is rated Mature. Please review the Content Ratings page for more information.,N/A
A Martial Master Wakes Upas a Concubine,LICO,Fantasy,https://www.webtoons.com/en/fantasy/a-martial-master-wakes-up-as-a-concubine/list?title_no=5732,UPEVERY TUESDAY,19.6M,426884,9.69,This series is rated Young Adult. Please review the Content Ratings page for more information.,N/A
Odd Girl Out,Morangji,Drama,https://www.webtoons.com/en/drama/odd-girl-out/list?title_no=1420,UPEVERY TUESDAY,204.5M,1M,9.82,This series is rated Teen. Please review the Content Ratings page for more information.,N/A
Valhalla Saga,J-Sun(REDICE STUDIO),Action,https://www.webtoons.com/en/action/valhalla-saga/list?title_no=7235,UPEVERY TUESDAY,1.5M,110954,9.21,This series is rated Young Adult. Please review the Content Ratings page for more information.,N/A
The Genius AssassinWho Takes It All,Studio Sigma,Action,https://www.webtoons.com/en/action/the-genius-assassin-who-takes-it-all/list?title_no=6216,UPEVERY TUESDAY,7.7M,215568,9.18,This series is rated Young Adult. Please review the Content Ratings page for more information.,N/A
The Ki Sisters,bumbae,Comedy,https://www.webtoons.com/en/comedy/the-ki-sisters/list?title_no=6675,UPEVERY TUESDAY,11.5M,726508,9.8,This series is rated Teen. Please review the Content Ratings page for more information.,N/A
Bad Born Blood,D-Park,Action,https://www.webtoons.com/en/action/bad-born-blood/list?title_no=7208,UPEVERY TUESDAY,2M,151437,9.67,This series is rated Young Adult. Please review the Content Ratings page for more information.,N/A
Surviving as the Crown Prince's Childhood Friend,LICO,Romance,https://www.webtoons.com/en/romance/surviving-as-the-crown-princes-childhood-friend/list?title_no=7568,UPEVERY TUESDAY,851079,95145,8.47,This series is rated Teen. Please review the Content Ratings page for more information.,N/A
